video_id,platform,creator_reach,creator_activity,audience_youthfulness,topic_category,video_duration,headline_length,hashtag_count,emotional_intensity,visual_realism,av_coherence,account_topic_focus,publication_age,engagement
V0024,tiktok,137516,49,0.755,1,27.5,39,8,3.08,5.07,4.31,0.689,62,1504
V0025,tiktok,29577,83,0.669,4,33.1,70,2,3.71,2.66,2.51,0.033,109,169
V0026,tiktok,41282,245,0.607,1,51.5,87,3,3.83,4.58,6.06,0.7,98,2803
V0027,tiktok,5927,341,0.803,3,52.7,46,4,7.0,3.65,3.47,0.461,104,221
V0028,shorts,4215,41,0.582,2,44.3,21,5,4.04,5.41,3.44,0.683,5,183
V0029,tiktok,14181,71,0.79,4,82.2,91,6,4.26,4.11,4.76,0.159,85,9
V0030,tiktok,1823,79,0.739,1,71.9,32,3,3.27,4.18,3.65,0.38,71,3
V0031,tiktok,630,23,0.742,3,68.2,38,3,6.08,5.18,6.91,0.645,37,438
V0032,shorts,1341,230,0.514,4,39.8,44,3,2.12,3.73,3.47,0.761,39,49
V0033,shorts,12207,158,0.578,3,61.4,71,4,4.44,1.0,1.2,0.122,6,6
V0034,shorts,31162,152,0.538,2,38.2,66,7,3.97,3.63,2.47,0.439,76,35
V0035,tiktok,193352,81,0.663,4,11.1,65,7,3.93,3.56,2.03,0.76,48,2431
V0036,shorts,19327,215,0.529,4,61.2,45,3,4.15,6.28,6.02,0.746,48,332
V0037,shorts,23168,236,0.442,3,64.1,47,4,3.3,2.21,4.85,0.788,36,211
V0038,tiktok,206624,287,0.712,1,50.3,69,6,2.6,6.61,5.77,0.126,47,1903
V0039,shorts,2446,76,0.579,3,70.1,88,2,5.54,4.51,4.12,0.785,111,1003
V0040,tiktok,1760,128,0.724,4,9.3,23,1,5.99,4.85,3.57,0.193,57,29
V0041,shorts,3758,61,0.59,3,21.3,78,3,5.02,4.1,4.87,0.502,112,78
V0042,tiktok,8323,65,0.689,2,83.3,72,4,5.85,4.08,2.98,0.466,58,12
V0043,tiktok,377688,240,0.717,4,36.3,66,3,4.34,3.57,3.33,0.352,66,391
V0044,shorts,5282,95,0.546,1,51.6,36,6,1.0,6.92,5.41,0.486,90,31
V0045,tiktok,104068,77,0.868,2,89.8,53,4,2.68,3.41,4.8,0.09,43,20
V0046,tiktok,4227,165,0.611,4,34.7,60,4,4.77,4.91,5.3,0.289,92,36
V0047,shorts,23970,175,0.705,3,40.0,37,3,1.0,4.57,5.73,0.613,41,182
V0048,tiktok,33738,42,0.656,1,39.7,77,4,4.29,4.36,6.43,0.247,30,119
V0049,shorts,25831,47,0.518,3,71.4,41,8,4.56,5.6,4.84,0.458,101,136
V0050,tiktok,38249,184,0.736,4,21.7,85,4,4.51,5.02,6.5,0.632,109,9837
V0051,shorts,2863,152,0.59,4,44.1,18,3,2.6,2.04,4.49,0.592,17,86
V0052,tiktok,136089,73,0.712,2,44.6,21,1,3.59,2.15,3.34,0.144,112,256
V0053,tiktok,57860,298,0.732,1,126.3,10,4,3.62,3.65,5.27,0.531,63,22
V0054,tiktok,2798,82,0.825,1,53.2,67,2,4.41,6.13,6.26,0.629,79,392
V0055,tiktok,24597,13,0.921,1,55.3,31,0,3.72,6.78,7.0,0.051,15,59
V0056,shorts,1434,41,0.577,1,35.9,33,6,1.67,3.84,1.71,0.235,119,9
V0057,shorts,11741,21,0.6,2,54.5,71,3,7.0,4.39,3.48,0.351,15,59
V0058,tiktok,1202,283,0.707,3,23.4,90,2,4.54,2.85,2.28,0.078,25,1
V0059,tiktok,36064,149,0.846,2,123.3,35,3,3.77,4.74,4.79,0.515,85,29
V0060,shorts,2055167,101,0.536,1,53.4,81,3,3.35,4.71,4.75,0.566,115,508447
V0061,tiktok,139736,9,0.755,4,67.3,63,3,5.14,3.5,2.68,0.543,14,154
V0062,tiktok,36879,21,0.632,2,42.2,51,6,4.38,4.17,3.58,0.439,52,140
V0063,tiktok,1949,77,0.504,1,25.5,25,4,4.69,4.94,4.76,0.698,119,194
V0064,tiktok,19623,15,0.895,3,89.3,20,7,2.01,6.54,5.36,0.045,17,26
V0065,shorts,83467,231,0.629,1,25.2,53,2,1.2,6.82,5.66,0.274,76,191
V0066,shorts,8441,81,0.618,1,60.2,54,7,5.94,7.0,5.38,0.771,53,469
V0067,tiktok,12490,78,0.641,3,52.2,36,3,4.39,3.51,2.72,0.294,17,63
V0068,tiktok,469,84,0.586,2,74.8,29,5,4.48,1.43,3.25,0.532,96,1
V0069,shorts,2122,35,0.526,3,66.5,22,6,5.71,4.44,3.12,0.264,82,13
V0070,tiktok,355,32,0.724,2,40.4,59,5,3.55,2.83,4.19,0.299,72,10
V0071,shorts,310533,13,0.602,4,27.4,66,4,4.78,4.98,4.84,0.545,42,1096
V0072,tiktok,23173,92,0.716,1,92.4,67,4,1.58,3.87,4.88,0.335,117,6
V0073,shorts,36477,135,0.646,4,28.7,65,2,3.95,3.35,4.57,0.739,64,175
V0074,shorts,6872,71,0.573,3,114.2,39,9,3.97,4.24,2.85,0.292,70,6
V0075,shorts,714,68,0.57,4,21.1,87,3,5.46,5.65,3.88,0.544,41,19
V0076,shorts,13585,35,0.637,1,36.5,29,6,3.46,4.81,2.32,0.8,84,100
V0077,tiktok,3147,116,0.662,2,97.1,64,4,6.97,4.3,2.9,0.538,23,16
V0078,shorts,1727,8,0.576,1,30.4,42,6,1.0,3.23,2.65,0.062,98,6
V0079,tiktok,10935,30,0.671,4,43.8,27,4,5.58,2.85,4.22,0.721,106,713
V0080,tiktok,12060,47,0.662,2,147.9,37,6,1.62,4.8,5.0,0.309,82,1
V0081,tiktok,7152,54,0.835,1,18.9,63,5,5.46,3.79,2.33,0.137,119,63
V0082,shorts,2456,112,0.632,2,45.1,75,4,5.2,3.04,4.23,0.622,34,40
V0083,tiktok,1678,74,0.758,4,15.0,58,5,3.17,5.02,4.08,0.218,118,19
V0084,tiktok,10010,105,0.819,2,89.1,6,5,3.55,4.31,4.42,0.681,71,143
V0085,tiktok,89364,313,0.745,1,91.1,67,4,3.72,3.94,4.08,0.558,80,2903
V0086,shorts,551,355,0.652,2,125.2,6,5,5.19,6.37,5.12,0.885,111,233
V0087,tiktok,3032,172,0.648,3,21.2,94,5,3.36,3.47,4.88,0.268,34,21
V0088,shorts,7389,314,0.534,2,62.8,56,2,4.56,5.57,3.59,0.26,44,67
V0089,shorts,7437,508,0.576,1,53.5,55,4,4.22,4.5,4.88,0.835,38,98
V0090,shorts,3405,130,0.466,2,94.0,73,2,5.01,4.9,5.83,0.362,34,6
V0091,shorts,318479,22,0.492,2,53.8,45,4,4.37,4.46,3.98,0.324,106,2440
V0092,tiktok,20326,246,0.617,1,49.5,46,2,4.73,5.59,4.39,0.449,6,106
V0093,shorts,1680,33,0.599,3,39.0,43,3,5.14,6.31,4.47,0.324,43,61
V0094,shorts,334,579,0.509,4,45.3,54,6,5.1,2.61,3.52,0.038,12,4
V0095,shorts,7260,505,0.567,1,36.3,53,6,5.05,5.89,5.44,0.431,96,430
V0096,shorts,141924,54,0.587,3,49.2,56,3,3.87,3.96,4.34,0.686,25,3763
V0097,tiktok,14002,30,0.703,2,10.0,6,4,3.98,4.79,2.49,0.405,9,27
V0098,shorts,153,45,0.548,1,121.1,49,4,3.08,4.71,5.97,0.297,9,0
V0099,tiktok,830,84,0.727,3,35.3,16,3,4.98,3.64,4.69,0.692,3,146
V0100,shorts,12348,324,0.579,1,22.1,111,9,2.8,3.59,3.69,0.648,62,64
V0101,shorts,67623,26,0.652,2,35.9,69,2,3.79,4.58,4.9,0.382,16,213
V0102,tiktok,12758,217,0.629,4,88.5,72,8,3.98,3.54,2.59,0.605,82,152
V0103,shorts,12948,11,0.553,2,70.5,62,6,4.9,5.23,5.13,0.077,54,38
V0104,tiktok,68281,303,0.621,4,46.2,66,6,4.79,2.37,2.51,0.629,48,4778
V0105,shorts,94964,85,0.66,1,57.2,32,7,5.09,4.09,4.47,0.538,18,1419
V0106,tiktok,2928,110,0.571,1,47.2,69,6,4.4,6.11,4.27,0.259,86,20
V0107,shorts,21774,81,0.559,2,117.6,70,5,2.23,4.1,3.71,0.533,78,12
V0108,shorts,1766,229,0.513,4,52.4,55,6,3.44,3.1,4.05,0.167,95,6
V0109,shorts,1425,130,0.501,3,52.6,68,6,4.35,4.22,3.69,0.317,106,30
V0110,tiktok,28539,487,0.772,1,26.1,75,6,4.62,3.01,3.69,0.337,20,32
V0111,shorts,763,15,0.588,1,40.2,52,1,3.07,5.33,4.72,0.565,36,26
V0112,tiktok,13437,36,0.64,2,40.0,27,5,3.27,4.47,5.52,0.251,80,39
V0113,shorts,17423,23,0.582,2,34.9,70,9,3.96,4.0,4.82,0.543,45,75
V0114,tiktok,46645,185,0.738,1,87.0,85,3,2.49,5.23,4.94,0.151,14,24
V0115,tiktok,1248,17,0.657,1,34.7,25,4,3.87,4.21,6.27,0.524,68,21
V0116,tiktok,19643,1024,0.601,3,26.7,77,3,5.65,3.4,4.08,0.619,48,2352
V0117,tiktok,7897,99,0.778,2,48.5,57,3,2.41,3.88,3.48,0.404,18,23
V0118,shorts,143617,305,0.6,4,12.5,65,3,2.23,3.3,5.29,0.39,93,546
V0119,tiktok,2599,34,0.756,2,34.0,70,3,5.52,2.89,3.13,0.219,16,3
V0120,tiktok,1342,110,0.674,1,16.5,28,4,3.89,5.1,4.36,0.247,44,2
V0121,shorts,24353,168,0.641,3,69.7,58,6,6.3,3.45,2.88,0.294,66,46
V0122,shorts,2121,44,0.817,1,34.9,74,3,2.26,3.51,3.68,0.524,41,11
V0123,tiktok,963,72,0.728,2,79.4,83,3,5.48,5.47,5.57,0.503,46,7
V0124,tiktok,50926,427,0.757,2,26.7,71,2,4.49,2.57,1.67,0.427,46,173
V0125,tiktok,21476,319,0.651,1,21.6,31,4,2.47,3.23,3.55,0.705,104,138
V0126,tiktok,37,161,0.651,4,81.8,56,4,4.61,3.58,2.41,0.567,112,29
V0127,shorts,1886,646,0.684,2,64.1,46,4,7.0,6.35,6.6,0.565,20,1164
V0128,shorts,1347,13,0.724,3,102.4,53,1,5.3,4.07,4.14,0.21,80,13
V0129,tiktok,31566,120,0.695,1,22.9,76,5,4.42,4.53,5.63,0.133,102,82
V0130,shorts,140170,61,0.493,3,21.3,21,2,3.63,4.38,4.19,0.732,81,17933
V0131,shorts,402161,374,0.472,4,31.8,63,5,2.32,2.69,1.82,0.186,88,768
V0132,shorts,35278,273,0.496,1,121.1,61,7,2.29,4.79,4.09,0.322,96,16
V0133,shorts,1376,290,0.549,2,59.0,30,7,3.59,5.4,7.0,0.558,29,99
V0134,shorts,1292,50,0.446,2,111.2,76,1,5.35,6.51,5.49,0.728,88,31
V0135,tiktok,1781,158,0.658,1,73.6,39,4,3.89,4.05,5.09,0.156,102,22
V0136,shorts,23883,265,0.619,3,44.0,53,7,6.4,5.08,3.89,0.582,84,10349
V0137,shorts,96544,329,0.531,4,18.2,6,7,2.82,5.5,4.53,0.464,23,630
V0138,shorts,314,36,0.482,4,48.2,76,5,2.64,4.4,5.09,0.443,74,4
V0139,tiktok,29633,45,0.621,2,41.7,45,6,4.22,7.0,6.94,0.55,94,1228
V0140,shorts,52583,115,0.628,1,127.3,45,2,4.02,6.85,6.66,0.326,29,36
V0141,shorts,17479,363,0.46,1,51.5,84,5,6.25,6.22,4.34,0.451,66,524
V0142,tiktok,3352505,167,0.702,4,58.8,9,5,5.03,2.69,1.83,0.08,102,70599
V0143,tiktok,25938,356,0.793,3,8.0,71,3,4.2,4.0,2.72,0.412,61,55
V0144,tiktok,10493,13,0.756,3,109.1,75,1,3.08,5.33,4.1,0.365,17,4
V0145,shorts,29701,69,0.566,2,19.3,8,5,5.09,4.45,3.95,0.253,63,46
V0146,tiktok,3716,148,0.737,1,40.2,57,2,7.0,2.13,3.48,0.527,95,29
V0147,tiktok,1368,118,0.638,3,49.7,43,2,4.29,4.63,2.71,0.272,33,7
V0148,tiktok,21161,14,0.656,2,34.7,28,7,2.4,6.97,4.36,0.83,19,656
V0149,tiktok,78947,271,0.676,1,33.7,23,2,1.97,6.48,5.64,0.815,27,378
V0150,tiktok,6484,127,0.485,2,63.7,68,8,3.66,5.45,4.86,0.426,57,25
V0151,shorts,52381,56,0.51,3,40.1,77,4,4.44,4.46,3.95,0.422,13,405
V0152,tiktok,5032,298,0.705,1,13.4,27,5,3.16,4.36,5.87,0.283,20,20
V0153,shorts,186559,16,0.537,1,18.4,31,5,3.52,4.73,3.5,0.053,41,357
V0154,tiktok,14569,54,0.704,1,179.4,70,6,3.48,3.71,4.69,0.521,91,1
V0155,shorts,25894,218,0.56,3,93.8,105,4,5.93,3.74,4.02,0.096,30,42
V0156,tiktok,39305,131,0.735,2,8.6,17,1,2.39,4.59,4.06,0.378,79,75
V0157,shorts,868,72,0.673,3,47.4,19,4,3.47,7.0,4.94,0.146,100,17
V0158,tiktok,7131,77,0.726,2,56.6,27,2,5.64,5.11,3.08,0.832,109,1083
V0159,tiktok,271835,71,0.781,2,71.8,28,3,6.25,4.69,3.24,0.068,5,825
V0160,shorts,10569,214,0.496,1,66.7,78,8,3.34,5.78,4.69,0.506,37,8
V0161,shorts,123586,66,0.57,2,19.6,29,2,3.91,6.54,4.65,0.634,69,7791
V0162,tiktok,48599,177,0.737,4,63.1,102,5,6.75,5.89,4.36,0.213,70,837
V0163,tiktok,369,11,0.696,3,58.1,62,6,5.95,3.02,3.37,0.339,73,5
V0164,shorts,35358,308,0.408,3,10.9,75,2,3.06,6.61,6.62,0.752,30,2926
V0165,tiktok,1396,1034,0.607,4,52.6,66,3,2.84,5.51,5.31,0.325,74,6
V0166,tiktok,15839,148,0.75,1,53.7,28,2,4.36,2.74,3.37,0.562,54,686
V0167,shorts,4684,83,0.54,3,29.6,20,4,2.92,3.93,3.08,0.184,48,10
V0168,tiktok,10293,53,0.695,3,53.2,73,6,3.61,1.54,2.45,0.524,68,85
V0169,tiktok,8712,181,0.66,3,57.9,79,3,4.67,3.32,3.92,0.111,73,26
V0170,tiktok,15318,47,0.722,4,32.6,61,4,1.9,4.25,3.49,0.355,115,27
V0171,tiktok,4416,40,0.76,1,62.1,52,11,4.54,4.75,4.86,0.116,18,9
V0172,tiktok,870,11,0.863,1,60.1,54,3,4.84,3.85,3.93,0.336,13,4
V0173,shorts,1607,115,0.544,4,35.1,57,4,3.87,4.61,4.89,0.673,91,49
V0174,shorts,51495,67,0.531,2,18.5,21,9,5.34,3.69,6.55,0.405,41,197
V0175,shorts,220596,71,0.567,4,42.2,53,3,3.31,4.9,4.76,0.745,53,16204
V0176,tiktok,15042,90,0.808,2,34.2,52,5,3.78,4.34,4.6,0.555,17,99
V0177,shorts,45077,44,0.729,2,85.5,12,7,1.69,5.13,4.35,0.572,12,378
V0178,tiktok,57431,109,0.76,4,49.8,6,5,1.0,5.57,5.65,0.187,42,67
V0179,shorts,847,31,0.431,2,60.0,46,2,2.64,5.31,4.11,0.531,89,9
V0180,tiktok,340,80,0.718,1,50.0,6,4,4.04,4.03,4.18,0.211,4,4
V0181,shorts,9025,68,0.456,2,96.5,6,3,4.13,2.09,1.3,0.748,99,29
V0182,shorts,328,16,0.469,1,40.5,12,4,3.72,4.99,6.19,0.421,20,16
V0183,shorts,6060,27,0.691,4,41.7,56,3,3.72,2.48,4.19,0.34,61,11
V0184,shorts,692,50,0.519,4,99.1,51,6,3.96,5.36,3.87,0.353,117,4
V0185,tiktok,3219,51,0.659,1,31.6,53,4,4.17,5.89,6.54,0.433,100,197
V0186,shorts,2560,117,0.656,2,103.0,90,5,3.05,5.65,5.22,0.771,17,18
V0187,shorts,25235,60,0.553,4,46.7,63,6,1.91,5.95,5.74,0.418,72,21
V0188,tiktok,3087,86,0.627,1,58.6,87,10,4.97,5.75,5.2,0.74,5,110
V0189,shorts,1254,60,0.552,1,37.6,56,4,2.26,3.21,3.43,0.426,62,10
V0190,tiktok,10806,7,0.606,1,76.0,76,2,6.16,2.65,4.09,0.525,59,14
V0191,tiktok,2065600,80,0.649,4,58.2,87,3,2.62,1.46,2.33,0.186,49,4161
V0192,tiktok,24028,39,0.732,2,47.0,97,2,3.6,4.47,3.33,0.575,107,510
V0193,tiktok,299,77,0.514,1,18.3,47,3,5.38,4.93,5.77,0.57,118,353
V0194,shorts,11665,42,0.605,1,31.7,24,5,3.44,4.78,4.42,0.524,54,134
V0195,shorts,1012543,173,0.568,1,49.4,53,4,2.43,4.24,5.01,0.245,119,20714
V0196,tiktok,13419,86,0.785,3,93.9,82,9,3.81,5.6,4.9,0.14,107,48
V0197,shorts,99230,183,0.517,1,32.0,87,3,5.33,4.72,5.26,0.299,4,200
V0198,tiktok,72999,197,0.752,3,68.3,54,3,4.05,2.23,1.54,0.215,64,69
V0199,tiktok,84042,51,0.639,4,17.4,60,5,3.82,2.5,3.94,0.577,3,258
V0200,tiktok,65607,203,0.644,3,70.6,88,1,3.91,5.93,5.54,0.197,41,99
V0201,shorts,16461,113,0.556,1,20.4,56,3,5.81,4.99,3.85,0.191,12,84
V0202,shorts,7103,31,0.55,1,74.4,67,6,2.3,2.42,3.83,0.64,97,69
V0203,tiktok,5995,80,0.718,2,31.4,73,9,4.46,6.01,5.8,0.502,88,73
V0204,shorts,12289,99,0.656,2,53.3,46,1,7.0,3.78,4.04,0.494,40,69
V0205,shorts,21347,321,0.526,1,50.4,32,2,4.08,5.87,5.87,0.335,24,28
V0206,shorts,996,64,0.584,1,21.7,108,7,5.21,3.75,3.27,0.76,7,101
V0207,tiktok,5974,433,0.746,3,87.1,38,6,3.09,5.83,4.23,0.557,36,77
V0208,tiktok,9200,194,0.731,3,78.4,27,2,3.33,5.33,3.48,0.369,49,70
V0209,shorts,12018,11,0.581,3,29.9,46,4,4.18,3.73,4.42,0.22,14,10
V0210,shorts,5668,32,0.41,2,84.6,55,3,3.95,3.72,4.13,0.068,29,2
V0211,tiktok,42257,162,0.674,1,46.8,58,3,2.73,6.08,3.72,0.493,49,60
V0212,shorts,8208,21,0.637,3,16.4,44,2,5.2,4.79,5.13,0.148,13,40
V0213,tiktok,5035,145,0.695,2,103.5,63,4,3.42,2.9,4.3,0.851,72,44
V0214,tiktok,1068,359,0.774,2,61.6,91,8,5.07,3.04,5.36,0.662,27,53
V0215,tiktok,2442,69,0.756,4,75.0,44,5,3.95,3.67,3.89,0.732,74,167
V0216,tiktok,14962,368,0.475,4,32.6,52,3,6.0,4.09,5.57,0.408,12,88
V0217,tiktok,12265,338,0.614,3,20.8,83,5,3.86,2.72,1.99,0.298,39,6
V0218,shorts,252,85,0.495,4,71.0,29,5,2.9,6.54,6.61,0.536,33,5
V0219,shorts,52247,87,0.494,3,88.6,24,3,5.66,3.08,4.49,0.324,75,35
V0220,tiktok,2794,108,0.683,1,12.1,36,5,2.15,2.95,3.32,0.397,66,35
V0221,tiktok,1952,140,0.684,4,119.8,49,2,3.56,1.89,3.68,0.35,84,1
V0222,tiktok,73606,19,0.653,3,32.9,72,2,3.66,4.08,2.23,0.205,79,229
V0223,shorts,80341,78,0.495,1,100.8,14,4,5.52,3.9,4.14,0.68,16,1125
V0224,tiktok,2750,17,0.562,4,37.9,36,4,4.71,5.25,5.18,0.291,109,38
V0225,tiktok,5218,64,0.873,4,54.6,26,3,4.32,3.67,4.01,0.25,37,5
V0226,tiktok,1093,72,0.829,2,39.0,15,4,6.33,4.24,4.98,0.692,15,128
V0227,shorts,42856,15,0.618,2,16.2,22,6,4.23,4.09,4.87,0.264,117,214
V0228,shorts,50434,25,0.541,2,18.7,69,5,2.21,4.29,2.97,0.373,32,59
V0229,shorts,4492,60,0.475,2,24.9,54,3,2.47,3.78,4.4,0.456,75,38
V0230,shorts,121180,781,0.743,1,37.4,55,4,2.06,3.44,3.17,0.23,51,543
V0231,tiktok,51712,22,0.643,1,15.0,66,3,4.0,4.54,5.47,0.096,8,550
V0232,tiktok,7921,102,0.832,4,35.2,62,4,3.93,5.74,5.34,0.636,112,137
V0233,shorts,36274,37,0.573,3,59.6,61,3,4.51,7.0,6.67,0.839,26,17327
V0234,shorts,504,62,0.475,4,113.3,95,9,4.35,2.89,5.74,0.665,34,16
V0235,tiktok,6167,241,0.653,3,53.4,67,2,4.28,3.11,4.77,0.572,42,186
V0236,tiktok,15568,123,0.684,2,29.7,6,9,6.39,4.13,2.22,0.614,59,1243
V0237,tiktok,9713,138,0.668,4,34.9,65,2,4.48,5.44,3.86,0.544,19,36
V0238,shorts,396293,147,0.435,1,19.5,74,11,2.86,4.62,4.5,0.439,28,2612
V0239,tiktok,17309,160,0.752,4,41.8,63,2,3.36,3.5,4.16,0.151,6,20
V0240,tiktok,19142,10,0.644,2,39.0,38,6,3.34,5.41,5.04,0.526,116,57
V0241,shorts,907,132,0.609,2,52.5,28,2,3.92,2.55,3.29,0.222,70,3
V0242,shorts,7062,83,0.533,3,84.4,53,6,1.98,3.82,4.83,0.623,79,35
V0243,shorts,2415,134,0.559,2,72.7,67,6,5.51,3.22,2.99,0.678,96,63
V0244,tiktok,678594,208,0.727,2,24.2,71,4,2.28,2.99,3.97,0.199,61,796
V0245,tiktok,4684,136,0.687,2,13.3,9,2,4.7,2.56,2.97,0.345,42,8
V0246,tiktok,12263,180,0.71,1,16.3,59,10,5.23,3.43,4.81,0.608,50,831
V0247,tiktok,88296,28,0.732,3,29.0,81,7,4.99,3.38,3.99,0.434,84,974
V0248,tiktok,32273,141,0.902,3,64.9,69,1,4.28,2.3,2.24,0.358,106,38
V0249,tiktok,780,81,0.615,2,28.2,110,6,4.11,2.34,2.27,0.282,12,1
V0250,tiktok,31236,83,0.661,2,63.5,35,4,6.32,3.27,5.56,0.305,119,62
V0251,shorts,35545,330,0.517,1,38.6,24,5,5.1,4.91,5.23,0.66,54,2939
V0252,tiktok,7137,55,0.617,2,121.9,72,6,2.19,2.73,4.15,0.506,88,1
V0253,tiktok,22828,46,0.611,3,76.5,86,2,4.89,4.76,4.11,0.358,98,88
V0254,shorts,11950,24,0.423,2,16.0,28,7,2.52,4.28,3.94,0.571,71,155
V0255,shorts,818,67,0.542,1,65.9,53,7,5.17,4.89,2.7,0.386,12,3
V0256,shorts,3589,263,0.503,1,26.1,57,3,5.14,2.12,3.8,0.517,113,9
V0257,tiktok,10273,17,0.729,2,8.4,61,5,7.0,3.12,3.64,0.11,65,24
V0258,shorts,3444,116,0.432,2,76.1,80,2,4.28,5.07,5.78,0.453,117,59
V0259,shorts,26115,7,0.474,2,36.2,105,10,3.79,6.82,6.91,0.846,13,1047
V0260,shorts,60087,45,0.619,3,111.6,38,4,3.67,3.43,3.93,0.196,17,27
V0261,shorts,16190,139,0.606,2,89.9,44,1,4.92,2.03,3.43,0.121,14,7
V0262,tiktok,5060,53,0.591,2,36.1,17,4,4.8,4.66,5.5,0.634,104,591
V0263,tiktok,115049,27,0.781,2,13.9,69,2,4.75,6.1,4.93,0.551,6,12757
V0264,shorts,12677,62,0.501,3,19.0,26,3,5.79,4.5,5.21,0.194,89,43
V0265,shorts,18701,242,0.456,1,64.5,54,4,4.82,3.38,2.08,0.573,58,336
V0266,tiktok,2504,400,0.773,3,54.7,62,6,2.02,3.4,4.31,0.422,95,12
V0267,tiktok,6689,408,0.787,4,23.3,82,1,3.44,5.61,4.75,0.344,39,32
V0268,tiktok,59670,178,0.515,2,28.9,50,6,4.25,7.0,5.9,0.668,67,2464
V0269,shorts,37749,129,0.614,1,139.0,40,7,4.74,6.13,4.34,0.155,30,19
V0270,tiktok,7068,241,0.674,3,47.8,37,8,2.46,5.11,3.96,0.786,115,420
V0271,tiktok,10045,28,0.672,3,39.1,74,4,5.67,4.92,4.05,0.425,16,89
V0272,shorts,14160,34,0.514,3,11.1,44,5,3.56,4.16,4.17,0.584,78,161
V0273,shorts,1819,328,0.629,1,15.3,53,0,5.39,4.47,3.6,0.329,43,25
V0274,shorts,7090,212,0.644,3,81.2,69,2,5.29,4.13,2.8,0.85,68,131
V0275,tiktok,3941,216,0.739,2,109.8,81,3,3.19,1.91,4.77,0.416,81,2
V0276,shorts,817,112,0.604,1,45.8,78,3,5.03,1.15,3.09,0.776,98,57
V0277,tiktok,13016,39,0.882,3,28.8,19,4,5.75,4.91,3.75,0.16,84,75
V0278,tiktok,7640,31,0.71,2,33.6,27,2,4.3,4.06,3.79,0.176,9,7
V0279,tiktok,710,230,0.63,4,30.5,60,6,5.02,3.39,3.67,0.291,22,25
V0280,tiktok,2366,266,0.753,2,45.0,65,6,2.47,4.51,4.77,0.561,47,94
V0281,shorts,8461,29,0.597,2,51.6,58,5,2.44,4.52,3.5,0.574,64,44
V0282,tiktok,54,43,0.699,1,126.2,81,2,4.69,2.92,2.84,0.9,91,8
V0283,tiktok,13783,81,0.696,2,42.9,87,3,1.52,2.7,4.05,0.764,36,86
V0284,shorts,15996,216,0.713,2,24.4,50,5,3.22,5.25,7.0,0.416,8,57
V0285,shorts,31825,64,0.521,1,36.4,56,4,3.96,2.97,4.19,0.371,33,47
V0286,shorts,3390,38,0.47,4,80.5,76,2,5.03,4.43,4.37,0.256,35,3
V0287,shorts,764,242,0.327,4,33.3,71,5,6.03,4.31,3.07,0.625,10,20
V0288,shorts,30666,164,0.607,4,11.2,29,7,5.47,3.84,4.57,0.104,60,111
V0289,tiktok,833,45,0.814,2,10.4,22,2,2.3,3.9,3.07,0.228,48,1
V0290,shorts,26205,47,0.448,2,36.0,11,4,3.62,4.16,5.08,0.573,93,372
